Scientific name,Short name,Common name,Foodweb name,Common Name
Alburnus.alburnus,na,Common bleak,Acarina,Arachnids
Alosa.fallax,na,Twait shad,anf¡podo,Amphipod
Ameiurus.melas,na,Black bullhead,Anilocra sp.,Genus
Ammodytes.tobianus,na,Sand eel,Anisops sp.,Genus subfam of Anisopinae
Anchialina.agilis,na,Crustacean,Anostracos,Anostraca
Anguilla.anguilla.(anguila),na,European eel,Aphia minuta,Transparent goby
Anguilla.anguilla.(angula),na,European eel,Argyrosomus regius,Meagre
Aphanius.baeticus,na,Baetic killifish,Chironomidae,Non-biting midges
Aphia.minuta,Am,Transparent goby,Cirripeda,Barnacle
Argyrosomus.regius,Ar,Meagre,Cladocera,Water flea
Athanas.nitescens,na,Hooded shrimp,Coleoptera,Bettle
Atherina.boyeri,na,Big-scale sand smelt,Copepoda,Colepod
Atyaephyra.desmarestii,na,Shrimp,Corophium orientale,Small shrimp
Axius.stirhynchus,na,Leach,Crab,Crab
Barbus.sclateri,na,Barbus,Crangon crangon,Crangon.crangon
Belone.belone,na,Garfish,Cyathura carinata,Small crustacean
Brachynotus.atlanticus,Crab,Crab,Cyprinus carpio,Common carp
Callianasa.sp,na,Mud shrimp,Decapoda (larvas y megalopas),Larvae and stage after
Callyonimus.reticulatus,na,Dragonet,Detritus_mm2,Debris
Caranx.rhonchus,na,False scad,Dexanime,??
Carassius.auratus,na,Goldfish,Dicentrarchus labrax,European bass
Carcinus.maenas,Crab,Littoral crab,Dicentrarchus punctatus,Spotted seabass
Chelon.labrosus,L.sp,Thicklip grey mullet,Diplodus sargus,Sargo
Chondrostoma.willkommii,na,Cyprinid fish,Diptera,Fly
Cobitis.paludica,na,Ray-finnedfish,Engraulis encrasicolus,European anchovy
Conger.conger,na,European conger,Erichtonius sp.,Amphipod genus
Crangon.crangon,Ccr,Caridean shrimp,Fish pieces,
Cyprinus.carpio,Cc ,Common carp,Gasteropoda,Gastropod class
Dalophis.imberbis,na,Armless snake eel,Gastrosaccus spinifer,Shrimp-lke crustacean
Dasyatis.pastinaca,na,Common stingray,Jassa sp.,Amphipod genus
Dicentrarchus.labrax,Dl,European bass,Larvae ephydridae,Shore fly larvae
Dicentrarchus.punctatus,Dp,Spotted seabass,Larvae Hidrofilidae,Water bettle larvae
Dicologoglossa.cuneata,na,Wedge sole,Lekanesphaera rugicauda,Isopod
Dicologoglossa.hexophthalma,na,Angler fish,Leptocheirus pilosus,Crustacean
Diplecogaster.bimaculata,na,Clingfish,Liza ramada,Thinlip mullet
Diplodus.annularis.,Ds,Sea bream,Liza saliens,Leaping mullet
Diplodus.bellottii,Ds,Senegal sea bream,Liza sp.,Mullet genus
Diplodus.puntazzo,Ds,Sharpsnout sea bream,Macrophyte,Acquatic plant
Diplodus.sargus,Ds,Sargo,Melita palmata,Crustacean
Diplodus.vulgaris,Ds,Two-banded sea bream,Mesopodopsis slabberi,Crustacean
Echelus.myrus,na,Painted eel,Microbialoop,Dissolved organic carbon
Echiichthys.vipera,na,Lesser weever,Mosquito,Mosquito
Engraulis.encrasicolus,Ee,European anchovy,Nematoda,Nematode
Eriocheir.sinensis,Crab,Chinese mitten crab,Neomysis integer,Opossum shrimp
