year  ,month,Date,Code,Vol,Precipitaciones
1997,1,1/1/1997,35431,156.384,1.1
1997,1,2/1/1997,35432,151.8912,3.2
1997,1,3/1/1997,35433,156.6,9.3
1997,1,4/1/1997,35434,144.359712,0
1997,1,5/1/1997,35435,151.560288,29
1997,1,6/1/1997,35436,157.319712,4.1
1997,1,7/1/1997,35437,129.3408,40.6
1997,1,8/1/1997,35438,143.424,0.6
1997,1,9/1/1997,35439,153.36,0
1997,1,10/1/1997,35440,129.6,0
1997,1,11/1/1997,35441,111.6288,0
1997,1,12/1/1997,35442,88.9056,0
1997,1,13/1/1997,35443,59.616,0
1997,1,14/1/1997,35444,71.159904,0
1997,1,15/1/1997,35445,61.228224,0
1997,1,16/1/1997,35446,55.303776,0
1997,1,17/1/1997,35447,77.668416,9.6
1997,1,18/1/1997,35448,82.759104,0
1997,1,19/1/1997,35449,136.077408,14.5
1997,1,20/1/1997,35450,188.352,34.2
1997,1,21/1/1997,35451,170.64,0
1997,1,22/1/1997,35452,154.656,8.5
1997,1,23/1/1997,35453,118.368,0
1997,1,24/1/1997,35454,113.184,0
1997,1,25/1/1997,35455,108.864,0
1997,1,26/1/1997,35456,108,0
1997,1,27/1/1997,35457,111.9744,0
1997,1,28/1/1997,35458,90.2016,0
1997,1,29/1/1997,35459,82.3392,0
1997,1,30/1/1997,35460,78.3648,0
1997,1,31/1/1997,35461,70.7616,0
1997,2,1/2/1997,35462,64.8864,0
1997,2,2/2/1997,35463,61.1712,0
1997,2,3/2/1997,35464,56.372544,0
1997,2,4/2/1997,35465,50.12496,0
1997,2,5/2/1997,35466,48.288096,0
1997,2,6/2/1997,35467,45.218304,0
1997,2,7/2/1997,35468,43.576704,0
1997,2,8/2/1997,35469,39.583296,0
1997,2,9/2/1997,35470,38.11536,0
1997,2,10/2/1997,35471,29.8296,0
1997,2,11/2/1997,35472,28.080864,0
1997,2,12/2/1997,35473,29.573856,0
1997,2,13/2/1997,35474,26.5248,0
1997,2,14/2/1997,35475,25.508736,0
1997,2,15/2/1997,35476,27.179712,0
1997,2,16/2/1997,35477,26.9568,0
1997,2,17/2/1997,35478,23.826528,0
1997,2,18/2/1997,35479,22.548672,0
1997,2,19/2/1997,35480,24.521184,0
1997,2,20/2/1997,35481,19.732032,0
1997,2,21/2/1997,35482,22.548672,0
1997,2,22/2/1997,35483,16.030656,0
1997,2,23/2/1997,35484,18.156096,0
1997,2,24/2/1997,35485,14.00976,0
1997,2,25/2/1997,35486,15.374016,0
1997,2,26/2/1997,35487,13.879296,0
1997,2,27/2/1997,35488,18.358272,0
1997,2,28/2/1997,35489,18.786816,0
1997,3,1/3/1997,35490,21.826368,0
1997,3,2/3/1997,35491,20.167488,0
1997,3,3/3/1997,35492,18.890496,0
1997,3,4/3/1997,35493,14.759712,0
1997,3,5/3/1997,35494,12.745728,0
1997,3,6/3/1997,35495,9.873792,0
1997,3,7/3/1997,35496,9.415008,0
1997,3,8/3/1997,35497,5.651424,0
1997,3,9/3/1997,35498,5.41728,0
1997,3,10/3/1997,35499,5.074272,0
1997,3,11/3/1997,35500,4.111776,0
1997,3,12/3/1997,35501,3.358368,0
1997,3,13/3/1997,35502,2.674944,0
1997,3,14/3/1997,35503,2.818368,0
1997,3,15/3/1997,35504,2.100384,0
1997,3,16/3/1997,35505,2.572992,0
1997,3,17/3/1997,35506,2.339712,0
1997,3,18/3/1997,35507,1.540512,0
1997,3,19/3/1997,35508,1.64592,0
1997,3,20/3/1997,35509,1.593216,0
1997,3,21/3/1997,35510,1.540512,0
1997,3,22/3/1997,35511,2.486592,0
1997,3,23/3/1997,35512,2.080512,0
1997,3,24/3/1997,35513,2.159136,0
1997,3,25/3/1997,35514,2.229984,0
1997,3,26/3/1997,35515,2.186784,0
1997,3,27/3/1997,35516,3.835296,0
1997,3,28/3/1997,35517,2.573856,0
1997,3,29/3/1997,35518,2.25936,0
1997,3,30/3/1997,35519,2.260224,0
1997,3,31/3/1997,35520,2.135808,0
1997,4,1/4/1997,35521,1.867104,0
1997,4,2/4/1997,35522,1.232928,0
1997,4,3/4/1997,35523,1.406592,0
1997,4,4/4/1997,35524,1.726272,0
1997,4,5/4/1997,35525,1.8792,0
1997,4,6/4/1997,35526,2.82528,0
1997,4,7/4/1997,35527,2.379456,0
1997,4,8/4/1997,35528,2.35008,5.6
1997,4,9/4/1997,35529,2.800224,14
1997,4,10/4/1997,35530,2.867616,0
1997,4,11/4/1997,35531,3.081888,0
1997,4,12/4/1997,35532,3.000672,0
1997,4,13/4/1997,35533,2.912544,0
1997,4,14/4/1997,35534,2.707776,0
1997,4,15/4/1997,35535,2.987712,0
1997,4,16/4/1997,35536,2.884032,0
1997,4,17/4/1997,35537,2.088288,0
1997,4,18/4/1997,35538,2.443392,0
1997,4,19/4/1997,35539,3.026592,4
1997,4,20/4/1997,35540,3.999456,14.2
1997,4,21/4/1997,35541,2.443392,0
1997,4,22/4/1997,35542,5.71536,0
1997,4,23/4/1997,35543,6.489504,0
1997,4,24/4/1997,35544,6.727968,0
1997,4,25/4/1997,35545,8.881056,0
1997,4,26/4/1997,35546,7.756992,0
1997,4,27/4/1997,35547,6.696864,0
1997,4,28/4/1997,35548,5.323104,0
1997,4,29/4/1997,35549,4.300128,0
1997,4,30/4/1997,35550,3.83616,0
1997,5,1/5/1997,35551,4.115232,0
1997,5,2/5/1997,35552,1.808352,0
1997,5,3/5/1997,35553,2.337984,0
1997,5,4/5/1997,35554,2.594592,0
1997,5,5/5/1997,35555,2.063232,0
1997,5,6/5/1997,35556,2.001888,0
1997,5,7/5/1997,35557,2.464128,0
1997,5,8/5/1997,35558,2.30256,0
1997,5,9/5/1997,35559,1.809216,0
1997,5,10/5/1997,35560,1.902528,0
1997,5,11/5/1997,35561,1.937088,0
1997,5,12/5/1997,35562,1.91808,0
1997,5,13/5/1997,35563,1.708992,0
1997,5,14/5/1997,35564,1.096416,0
1997,5,15/5/1997,35565,1.401408,0
1997,5,16/5/1997,35566,3.333312,43
1997,5,17/5/1997,35567,3.93552,0
1997,5,18/5/1997,35568,3.85344,0
1997,5,19/5/1997,35569,3.773088,2.5
1997,5,20/5/1997,35570,3.285792,0
1997,5,21/5/1997,35571,3.85344,0
1997,5,22/5/1997,35572,2.9376,0
1997,5,23/5/1997,35573,2.510784,0
1997,5,24/5/1997,35574,2.693952,1.9
1997,5,25/5/1997,35575,2.594592,1
1997,5,26/5/1997,35576,3.414528,0
1997,5,27/5/1997,35577,6.330528,3.3
1997,5,28/5/1997,35578,6.018624,0
1997,5,29/5/1997,35579,4.241376,0
1997,5,30/5/1997,35580,3.082752,0
1997,5,31/5/1997,35581,3.107808,16.1
1997,6,1/6/1997,35582,3.544992,2.7
1997,6,2/6/1997,35583,6.694272,0
1997,6,3/6/1997,35584,6.699456,0
1997,6,4/6/1997,35585,4.228416,0
1997,6,5/6/1997,35586,5.90976,14.2
1997,6,6/6/1997,35587,11.023776,12.8
1997,6,7/6/1997,35588,8.641728,1.2
